cutoff_fraction,model,brier,log_score,auc,ece,n_samples
0.1,logreg,0.23659516503453304,0.6724357810706308,0.8048245614035088,0.30886811816799814,50
0.1,posterior_hook,0.09496548000001999,0.31352197319711883,0.9133771929824561,0.12448002000000002,50
0.1,raw_price,0.09496548000001999,0.31352197319711883,0.9133771929824561,0.12448002000000002,50
0.1,smoothed_price,0.09273161130230348,0.3092323574149019,0.9144736842105263,0.13821575409346015,50
0.25,logreg,0.18088396159956763,0.5392449888869494,0.8048245614035088,0.20051536509267545,50
0.25,posterior_hook,0.05268954000004,0.19946341130365167,0.9824561403508771,0.10394004000000003,50
0.25,raw_price,0.05268954000004,0.19946341130365167,0.9824561403508771,0.10394004000000003,50
0.25,smoothed_price,0.05248634084873289,0.19940607017080667,0.9824561403508771,0.10470315040489248,50
0.5,logreg,0.14579465408111236,0.4479159401361415,0.8135964912280702,0.14998967674589472,50
0.5,posterior_hook,0.04857954000006001,0.17328248284777484,0.9857456140350876,0.08206006,50
0.5,raw_price,0.04857954000006001,0.17328248284777484,0.9857456140350876,0.08206006,50
0.5,smoothed_price,0.04738007377436527,0.170204567245169,0.986842105263158,0.08172059753094758,50
0.75,logreg,0.10862356910199072,0.3405413798667315,0.8991228070175438,0.08311105883856511,50
0.75,posterior_hook,0.01651722000028,0.06147763335557739,1.0,0.04478028000000002,50
0.75,raw_price,0.01651722000028,0.06147763335557739,1.0,0.04478028000000002,50
0.75,smoothed_price,0.01688745093899645,0.0625766554265445,1.0,0.04515047365442702,50
0.9,logreg,0.08231346382813824,0.2744396464684597,0.9583333333333333,0.10907500614782856,50
0.9,posterior_hook,0.01761086000054,0.05631529708487897,1.0,0.028220540000000002,50
0.9,raw_price,0.01761086000054,0.05631529708487897,1.0,0.028220540000000002,50
0.9,smoothed_price,0.017139640074381388,0.05393133946325873,1.0,0.028192298086810664,50
0.95,logreg,0.09969927453882228,0.31566814911997393,0.9342105263157895,0.13764749640468837,50
0.95,posterior_hook,0.016878740000700002,0.05073803026154751,1.0,0.024460700000000002,50
0.95,raw_price,0.016878740000700002,0.05073803026154751,1.0,0.024460700000000002,50
0.95,smoothed_price,0.015307137100997818,0.04520685608937204,1.0,0.02555714567405138,50
