perturbation,activity_bin,E_R,n,delta_pi_median,delta_pi_q90,delta_logBF_median,delta_logBF_q90
downsample_k_10,"(172008.625, 440985.313]",False,16,0.0,0.0,0.0,0.0
downsample_k_10,"(440985.313, 1408240527.302]",False,17,0.0,0.0014000000000000004,0.0,0.4068706322891497
downsample_k_10,"(565.063, 172008.625]",False,17,0.0,0.008000000000000009,0.0,0.056752234894177675
downsample_k_2,"(172008.625, 440985.313]",False,16,0.0,0.0,0.0,0.0
downsample_k_2,"(440985.313, 1408240527.302]",False,17,0.0,0.0,0.0,0.0
downsample_k_2,"(565.063, 172008.625]",False,17,0.0,0.0,0.0,0.0
downsample_k_5,"(172008.625, 440985.313]",False,16,0.0,0.0,0.0,0.0
downsample_k_5,"(440985.313, 1408240527.302]",False,17,0.0,0.0,0.0,0.0
downsample_k_5,"(565.063, 172008.625]",False,17,0.0,0.0,0.0,0.0
logodds_noise_sigma_0.05,"(172008.625, 440985.313]",False,16,2.626761629022855e-08,6.98193013696682e-05,0.02236067565116251,0.058620801970370895
logodds_noise_sigma_0.05,"(440985.313, 1408240527.302]",False,17,3.5055453714141326e-05,0.00012960163620788276,0.01706866707196042,0.06324766981964806
logodds_noise_sigma_0.05,"(565.063, 172008.625]",False,17,9.687337950338974e-08,0.0017772225451293034,0.019288372752969796,0.08077855012821758
logodds_noise_sigma_0.1,"(172008.625, 440985.313]",False,16,6.800598029155225e-09,0.00026581256483870265,0.006754771817545802,0.13737503626775505
logodds_noise_sigma_0.1,"(440985.313, 1408240527.302]",False,17,6.69480243795414e-05,0.0007309404108322818,0.04456253444452862,0.13244301116991225
logodds_noise_sigma_0.1,"(565.063, 172008.625]",False,17,4.433474131523143e-08,0.0036238607534819236,0.036730412638801724,0.10861618366024324
round_decimals_3,"(172008.625, 440985.313]",False,16,0.0,0.0,0.0,0.0
round_decimals_3,"(440985.313, 1408240527.302]",False,17,0.0,0.0,0.0,0.0
round_decimals_3,"(565.063, 172008.625]",False,17,0.0,0.0,0.0,0.0
volume_mult_sigma_0.1,"(172008.625, 440985.313]",False,16,0.0,0.0,0.0,0.0
volume_mult_sigma_0.1,"(440985.313, 1408240527.302]",False,17,0.0,0.0,0.0,0.0
volume_mult_sigma_0.1,"(565.063, 172008.625]",False,17,0.0,0.0,0.0,0.0
volume_mult_sigma_0.25,"(172008.625, 440985.313]",False,16,0.0,0.0,0.0,0.0
volume_mult_sigma_0.25,"(440985.313, 1408240527.302]",False,17,0.0,0.0,0.0,0.0
volume_mult_sigma_0.25,"(565.063, 172008.625]",False,17,0.0,0.0,0.0,0.0
